H1 N4 -130
J2 P5 -130
L3 R6 -130
N4 H1 -130
I1 O4 -113.92
K2 Q5 -113.92
M3 S6 -113.92
H4 N1 -110
J5 P2 -110
L6 R3 -110
N1 H4 -110
B1 N4 -100
C2 P5 -100
D3 R6 -100
E4 H1 -100
F5 J2 -100
G6 L3 -100
I4 O1 -93.92
K5 Q2 -93.92
M6 S3 -93.92
B4 N1 -80
C5 P2 -80
D6 R3 -80
E1 H4 -80
F2 J5 -80
G3 L6 -80
B1 E4 -70
C2 F5 -70
D3 G6 -70
H2 R5 -70
H6 J3 -70
J1 L4 -70
L2 N5 -70
N3 P6 -70
P4 R1 -70
A1 O4 -61.96
A2 Q5 -61.96
A3 S6 -61.96
A4 I1 -61.96
A5 K2 -61.96
A6 M3 -61.96
I2 S5 -61.96
I6 K3 -61.96
K1 M4 -61.96
K3 I6 -61.96
M2 O5 -61.96
O3 Q6 -61.96
Q4 S1 -61.96
B4 E1 -50
C5 F2 -50
D6 G3 -50
E1 B4 -50
H3 J6 -50
H5 R2 -50
J4 L1 -50
L5 N2 -50
N6 P3 -50
P1 R4 -50
A1 I4 -41.96
A2 K5 -41.96
A3 M6 -41.96
A4 O1 -41.96
A5 Q2 -41.96
A6 S3 -41.96
I3 K6 -41.96
I5 S2 -41.96
K4 M1 -41.96
M5 O2 -41.96
O6 Q3 -41.96
Q1 S4 -41.96
B2 G5 -40
B4 H1 -40
B6 C3 -40
C1 D4 -40
C5 J2 -40
D2 E5 -40
D6 L3 -40
E1 N4 -40
E3 F6 -40
F2 P5 -40
F4 G1 -40
G3 R6 -40
B1 H4 -20
B3 C6 -20
B5 G2 -20
C2 J5 -20
C4 D1 -20
D3 L6 -20
D5 E2 -20
E4 N1 -20
E6 F3 -20
F1 G4 -20
F5 P2 -20
G6 R3 -20
A1 A4 -10
A2 A5 -10
A3 A6 -10
B1 B4 -10
B2 B5 -10
B3 B6 -10
C1 C4 -10
C2 C5 -10
C3 C6 -10
D1 D4 -10
D2 D5 -10
D3 D6 -10
E1 E4 -10
E2 E5 -10
E3 E6 -10
F1 F4 -10
F2 F5 -10
F3 F6 -10
G1 G4 -10
G2 G5 -10
G3 G6 -10
H1 H4 -10
H2 H5 -10
H3 H6 -10
I1 I4 -10
I2 I5 -10
I3 I6 -10
J1 J4 -10
J2 J5 -10
J3 J6 -10
K1 K4 -10
K2 K5 -10
K3 K6 -10
L1 L4 -10
L2 L5 -10
L3 L6 -10
M1 M4 -10
M2 M5 -10
M3 M6 -10
N1 N4 -10
N2 N5 -10
N3 N6 -10
O1 O4 -10
O2 O5 -10
O3 O6 -10
P1 P4 -10
P2 P5 -10
P3 P6 -10
Q1 Q4 -10
Q2 Q5 -10
Q3 Q6 -10
R1 R4 -10
R2 R5 -10
R3 R6 -10
S1 S4 -10
S2 S5 -10
S3 S6 -10
